日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅,振幅,涨跌额
2025-08-12,3.96911484,3.97898826,3.90987432,3.93949458,35381619,141109057.07,3.4981,-0.7462686567164201,1.767676767676763,-0.029620260000000176
2025-08-13,3.949368,3.95924142,3.89012748,3.9000009,28967889,114595208.94,2.864,-1.0025062656641492,1.7766497461929,-0.03949367999999964
2025-08-14,3.89012748,3.93949458,3.8506338,3.90987432,36874989,145502489.08,3.6458,0.25316455696202667,2.307692307692298,0.00987341999999991
2025-08-15,3.9000009,3.92962116,3.89012748,3.92962116,21750463,86219971.12,2.1504,0.5050505050504972,1.0152284263959412,0.01974683999999982
2025-08-18,3.91974774,3.949368,3.91974774,3.949368,30423930,121264708.82,3.008,0.5025125628140836,0.7556675062972337,0.019746840000000265
2025-08-19,3.95924142,3.95924142,3.91974774,3.92962116,19884724,79192911.56,1.966,-0.5000000000000115,1.0075566750629745,-0.019746840000000265
2025-08-20,3.92962116,3.92962116,3.89012748,3.92962116,19540371,77401903.57,1.9319,0.0,1.0152284263959412,0.0
2025-08-21,3.93949458,3.9987351,3.91974774,3.97898826,35245899,141641922.05,3.4847,1.2562814070351758,2.015113350125949,0.0493671
2025-08-22,3.95924142,3.96911484,3.93949458,3.96911484,21805658,87272782.73,2.1559,-0.2481389578163795,0.7518796992481248,-0.00987341999999991
2025-08-25,3.949368,3.9987351,3.949368,3.9987351,30698518,123732705.28,3.0351,0.7462686567164312,1.25,0.029620260000000176
2025-08-26,3.9987351,4.05797562,3.97898826,4.0481022,29511890,120524090.59,2.9178,1.2345679012345512,1.9851116625310103,0.04936709999999955
2025-08-27,4.0481022,4.05797562,3.949368,3.949368,31174204,126201302.04,3.0822,-2.4390243902438935,2.7499999999999862,-0.09873419999999955
2025-08-28,3.949368,4.02835536,3.93949458,4.02835536,39897491,161139996.25,3.9446,2.0000000000000018,2.255639097744363,0.07898735999999973
2025-08-29,4.02835536,4.20607692,4.01848194,4.12708956,51366174,213768168.47,5.0785,2.450980392156854,4.66830466830467,0.0987342
2025-09-01,4.12708956,4.13696298,4.06784904,4.10734272,28617700,118783667.36,2.8294,-0.4784688995215225,1.6990291262135988,-0.01974683999999982
2025-09-02,4.10734272,4.11721614,4.03822878,4.07772246,26617556,109752763.08,2.6316,-0.7211538461538436,1.9559902200489043,-0.029620259999999732
2025-09-03,4.06784904,4.08759588,3.95924142,3.97898826,28524582,115637886.49,2.8202,-2.421307506053283,3.2418952618453907,-0.09873420000000044
2025-09-04,3.95924142,3.9987351,3.90987432,3.97898826,25188179,101099880.2,2.4903,0.0,2.2727272727272747,0.0
2025-09-05,3.97898826,4.0974693,3.93949458,4.0974693,39124802,159663629.74,3.8682,2.977667493796532,4.01002506265665,0.11848104000000026
2025-09-08,4.02835536,4.05797562,3.9987351,4.0481022,27401935,111939646.53,2.7092,-1.2048192771084487,1.481481481481468,-0.04936710000000044
2025-09-09,4.03822878,4.0481022,3.9987351,4.00860852,17260320,70240312.16,1.7065,-0.9756097560975507,1.2345679012345567,-0.03949367999999964
2025-09-10,4.00860852,4.02835536,3.9987351,4.01848194,12610695,51241923.06,1.2468,0.24630541871921707,0.740740740740734,0.00987341999999991
2025-09-11,4.01848194,4.07772246,3.9987351,4.07772246,23145842,94668750.98,2.2884,1.4742014742014753,1.9753086419753128,0.05924052000000035
2025-09-12,4.07772246,4.1468364,4.06784904,4.12708956,31851674,132736634.88,3.1491,1.2106537530266248,1.9417475728155382,0.04936709999999955
2025-09-15,4.11721614,4.16658324,4.08759588,4.15670982,26609021,111359459.75,2.6308,0.7177033492822948,1.9323671497584363,0.029620259999999732
2025-09-16,4.18633008,4.1962035,4.10734272,4.13696298,32713764,137210638.99,3.2344,-0.47505938242279333,2.1634615384615405,-0.01974683999999982
2025-09-17,4.13696298,4.1468364,4.10734272,4.13696298,22467746,94025570.89,2.2214,0.0,0.9615384615384528,0.0
2025-09-18,4.12708956,4.17645666,4.06784904,4.0974693,29654618,123861576.42,2.9319,-0.9546539379474805,2.669902912621379,-0.03949367999999964
2025-09-19,4.0974693,4.12708956,4.0481022,4.07772246,23947770,98952517.54,2.3677,-0.48192771084336616,1.9512195121951263,-0.01974683999999982
2025-09-22,4.06784904,4.07772246,3.949368,3.96911484,28928516,117244164.16,2.8601,-2.6634382566586012,3.2500000000000044,-0.10860762000000035
2025-09-23,3.96911484,3.97898826,3.88025406,3.95924142,26287301,104537176.39,2.599,-0.24875621890546595,2.5445292620865136,-0.00987341999999991
