code,date,grade,entry,risk,sig_day_pct,trig_pct,conf_ratio,variant,r_full,r_money,weight,kind
002009,2017-03-13,S,14.65,0.55,0.0178,-0.004,0.0,1R,-1.02,-1.02,1.0,direct_1r
600129,2017-03-13,S,17.81,0.79,0.0073,0.0104,0.0,1R,-1.017,-1.017,1.0,direct_1r
002023,2017-03-14,S,14.45,0.63,-0.0105,0.0409,0.0,1R,-0.708,-0.708,1.0,direct_1r
000400,2017-03-15,S,16.4,0.58,-0.0115,0.0451,0.0,1R,1.121,1.121,1.0,direct_1r
002023,2017-03-21,S,14.0,0.55,-0.0051,0.0343,0.0,1R,-1.019,-1.019,1.0,direct_1r
603989,2017-03-22,S,24.73,1.3,0.0017,0.0364,0.0,1R,-1.014,-1.014,1.0,direct_1r
002700,2017-03-27,S,12.75,0.67,-0.0274,0.0608,0.0,1R,-1.014,-1.014,1.0,direct_1r
002373,2017-03-31,S,13.87,0.63,0.0008,0.0573,0.0,1R,-1.016,-1.016,1.0,direct_1r
002581,2017-03-31,S,25.52,1.34,0.0159,0.0277,0.0,1R,-1.014,-1.014,1.0,direct_1r
002573,2017-04-05,S,17.33,0.68,0.0362,0.0005,0.0,1R,3.785,3.785,1.0,direct_1r
600967,2017-04-06,S,13.06,0.6,-0.012,0.025,0.0,1R,-1.016,-1.016,1.0,direct_1r
600150,2017-04-07,S,27.59,1.34,0.016,0.0304,0.0,1R,-1.015,-1.015,1.0,direct_1r
603989,2017-04-07,S,25.45,1.3,-0.0126,0.0426,0.0,1R,-0.121,-0.121,1.0,direct_1r
603968,2017-04-19,S,19.19,0.77,0.0777,0.0008,0.0,1R,-1.018,-1.018,1.0,direct_1r
002275,2017-04-20,S,13.7,0.56,0.1001,-0.03,0.0,1R,-1.018,-1.018,1.0,direct_1r
002048,2017-04-25,S,16.83,0.78,0.0332,-0.0325,0.0,1R,-1.016,-1.016,1.0,direct_1r
002424,2017-04-25,S,16.56,0.81,-0.0018,0.0762,0.0,1R,0.015,0.015,1.0,direct_1r
000988,2017-04-27,S,14.48,0.75,0.0097,0.0234,0.0,1R,-1.014,-1.014,1.0,direct_1r
600600,2017-04-27,S,28.11,1.26,-0.0162,0.0781,0.0,1R,-0.08,-0.08,1.0,direct_1r
600756,2017-04-27,S,20.14,0.88,-0.0096,0.0719,0.0,1R,0.85,0.85,1.0,direct_1r
