code,date,grade,entry,risk,sig_day_pct,trig_pct,conf_ratio,variant,r_full,r_money,weight,kind
300838,2021-12-27,S,16.92,0.77,0.1088,0.0119,1.0273,V3,0.582,0.291,0.5,reject_half
300873,2021-12-30,S,21.76,0.89,-0.0139,0.0267,1.0108,V3,-1.018,-1.018,1.0,confirmed
600271,2022-01-04,S,12.81,0.62,0.0194,-0.0015,1.0068,V3,0.125,0.062,0.5,reject_half
000623,2022-01-06,S,16.25,0.84,-0.0005,0.0232,0.0,V3,-1.014,-0.507,0.5,stop_half
300383,2022-01-14,S,14.46,0.7,-0.0034,0.0712,1.0909,V3,-1.015,-1.015,1.0,confirmed
605177,2022-01-17,S,27.04,1.21,0.0518,-0.065,1.0837,V3,-1.016,-1.016,1.0,confirmed
002315,2022-01-19,S,11.3,0.57,0.0284,0.0313,0.986,V3,-0.292,-0.146,0.5,reject_half
002315,2022-01-26,S,11.3,0.57,0.0506,0.0313,0.986,V3,-0.292,-0.146,0.5,reject_half
601952,2022-01-28,S,11.06,0.56,0.0212,0.0529,1.0506,V3,1.093,1.093,1.0,confirmed
603955,2022-02-08,S,13.93,0.66,0.0146,0.0359,1.0932,V3,2.449,1.224,0.5,skip_add
002315,2022-02-09,S,11.3,0.57,0.0445,0.0313,0.986,V3,-0.292,-0.146,0.5,reject_half
000028,2022-02-14,S,21.9,0.81,-0.0053,0.0175,0.0,V3,-1.02,-0.51,0.5,stop_half
002315,2022-02-16,S,11.23,0.58,-0.0017,0.0313,0.9922,V3,-0.166,-0.083,0.5,reject_half
002373,2022-02-17,S,14.21,0.68,-0.0165,0.0529,1.0081,V3,-1.015,-1.015,1.0,confirmed
600621,2022-02-28,S,12.39,0.54,0.0041,0.1003,1.0042,V3,-1.017,-1.017,1.0,confirmed
605100,2022-02-28,S,11.56,0.61,0.018,0.0252,1.0875,V3,1.643,0.821,0.5,reject_half
002977,2022-03-01,S,41.69,1.8,0.0099,0.0048,0.9805,V3,-0.468,-0.234,0.5,reject_half
600776,2022-03-02,S,10.97,0.5,-0.0072,-0.016,0.0,V3,-1.016,-0.508,0.5,stop_half
600729,2022-03-31,S,19.32,0.83,-0.0027,0.0172,1.0239,V3,-1.017,-1.017,1.0,confirmed
600419,2022-04-18,S,13.33,0.54,-0.0029,0.0202,1.0256,V3,-1.018,-1.018,1.0,confirmed
600848,2022-04-18,S,12.69,0.67,-0.0256,0.02,0.0,V3,-1.014,-0.507,0.5,stop_half
000651,2022-05-30,S,24.96,1.0,0.0098,0.0224,1.0016,V3,0.634,0.634,1.0,confirmed
600674,2022-06-06,S,10.61,0.5,0.0043,0.0203,0.9875,V3,-0.281,-0.141,0.5,reject_half
600674,2022-06-13,S,10.65,0.54,-0.0199,0.0252,1.0248,V3,2.223,2.223,1.0,confirmed
002311,2022-07-08,S,57.76,2.54,-0.0044,0.0206,0.982,V3,-0.426,-0.213,0.5,reject_half
603768,2022-07-27,S,16.15,0.85,-0.0057,0.0661,1.1477,V3,10.65,10.65,1.0,confirmed
600419,2022-08-05,S,12.41,0.5,0.0217,0.1004,1.0258,V3,1.783,1.783,1.0,confirmed
002916,2022-10-20,S,57.77,2.62,0.0131,0.0089,0.987,V3,-0.303,-0.151,0.5,reject_half
600332,2022-10-27,S,24.99,1.15,0.0401,0.0175,0.9994,V3,-0.03,-0.015,0.5,reject_half
603043,2022-10-31,S,20.15,0.7,-0.0494,0.016,1.0381,V3,-1.021,-1.021,1.0,confirmed
000651,2022-11-02,S,25.26,1.14,0.0061,0.0329,1.034,V3,0.866,0.866,1.0,confirmed
600977,2022-11-03,S,10.4,0.5,0.0037,0.0191,1.0617,V3,5.802,5.802,1.0,confirmed
600585,2022-11-04,S,24.29,1.2,0.0305,0.0547,0.9791,V3,-0.439,-0.219,0.5,reject_half
603369,2022-11-08,S,40.71,1.59,-0.0029,0.0276,0.0,V3,0.214,0.107,0.5,no_confirm_space
600332,2022-11-10,S,25.63,1.14,0.0243,-0.0117,1.0515,V3,2.996,1.498,0.5,skip_add
601601,2022-12-02,S,20.19,0.98,-0.0136,0.0625,1.0932,V3,1.089,1.089,1.0,confirmed
000028,2022-12-07,S,22.47,1.02,0.0431,0.0065,1.1151,V3,-1.016,-1.016,1.0,confirmed
688981,2022-12-09,S,42.4,1.69,0.0062,0.0184,1.0087,V3,-1.018,-1.018,1.0,confirmed
002365,2022-12-26,S,11.45,0.52,-0.0129,0.0419,1.0098,V3,-0.449,-0.449,1.0,confirmed
603213,2022-12-26,S,12.55,0.61,0.0109,0.0173,0.9598,V3,-0.842,-0.421,0.5,reject_half
000998,2022-12-27,S,16.38,0.69,0.1001,0.0304,1.0141,V3,1.874,1.874,1.0,confirmed
603213,2023-01-03,S,12.55,0.61,0.0212,0.1,1.1572,V3,3.702,1.851,0.5,skip_add
600406,2023-01-04,S,19.48,0.96,-0.0382,0.0517,1.0263,V3,0.43,0.43,1.0,confirmed
002230,2023-01-09,S,34.29,1.8,0.0029,0.0577,1.0266,V3,7.65,7.65,1.0,confirmed
300442,2023-01-10,S,22.75,1.05,0.0383,0.0181,1.0833,V3,1.788,0.894,0.5,reject_half
603213,2023-01-10,S,12.55,0.61,-0.0336,-0.0379,1.0607,V3,1.231,0.616,0.5,reject_half
600391,2023-01-13,S,17.96,0.89,-0.0136,0.0646,1.0663,V3,2.927,2.927,1.0,confirmed
603599,2023-01-13,S,19.21,0.74,0.013,0.0167,1.0165,V3,0.602,0.602,1.0,confirmed
600391,2023-01-20,S,17.96,0.89,0.0548,0.0165,1.1943,V3,3.421,3.421,1.0,confirmed
000501,2023-02-01,S,10.44,0.53,0.0037,0.0537,1.0495,V3,0.925,0.925,1.0,confirmed
600768,2023-02-02,S,9.31,0.5,-0.0168,0.0077,1.2179,V3,3.59,3.59,1.0,confirmed
300970,2023-02-03,S,13.07,0.57,0.0118,0.0339,1.1245,V3,2.835,1.418,0.5,reject_half
603599,2023-02-03,S,20.11,0.77,-0.0025,0.0261,1.0033,V3,0.704,0.704,1.0,confirmed
002258,2023-02-07,S,17.69,0.7,0.0135,0.0197,0.9871,V3,-0.345,-0.173,0.5,reject_half
600690,2023-02-17,S,24.26,0.98,-0.0137,0.0621,1.0258,V3,-1.018,-1.018,1.0,confirmed
000063,2023-02-20,S,25.72,1.02,0.0572,0.02,1.1124,V3,5.613,5.613,1.0,confirmed
002827,2023-02-20,S,10.62,0.51,-0.014,-0.0098,0.9654,V3,-0.736,-0.368,0.5,reject_half
600801,2023-02-20,S,14.19,0.54,0.071,0.0117,1.1151,V3,0.007,0.007,1.0,confirmed
002179,2023-02-23,S,41.34,2.17,0.0029,0.0292,0.9985,V3,-0.043,-0.021,0.5,reject_half
600993,2023-02-28,S,22.69,1.01,0.0224,-0.0338,1.0975,V3,1.249,1.249,1.0,confirmed
300244,2023-03-01,S,24.49,1.27,-0.0064,0.0852,1.0896,V3,1.153,1.153,1.0,confirmed
002179,2023-03-02,S,42.5,1.8,-0.0024,0.008,0.9897,V3,-0.262,-0.131,0.5,reject_half
300244,2023-03-08,S,23.84,1.16,0.007,0.0852,1.1193,V3,0.972,0.972,1.0,confirmed
600258,2023-03-13,S,23.46,1.05,0.0109,0.0167,0.9878,V3,-0.289,-0.144,0.5,reject_half
300244,2023-03-15,S,23.35,1.09,0.0091,0.0382,1.0145,V3,2.226,2.226,1.0,confirmed
300294,2023-03-17,S,34.55,1.69,0.0274,-0.0388,0.9858,V3,-0.306,-0.153,0.5,reject_half
300244,2023-03-22,S,23.11,0.92,0.0106,0.0852,1.1547,V3,3.169,3.169,1.0,confirmed
002007,2023-03-24,S,20.32,1.01,-0.0138,0.0497,1.0308,V3,0.808,0.808,1.0,confirmed
300294,2023-03-24,S,34.55,1.69,-0.0224,0.0483,1.0254,V3,1.336,1.336,1.0,confirmed
