code,date,grade,r,entry,cause
601869,2020-02-21,S,0.44,33.45,fade_high
600271,2020-02-24,S,-3.01,22.52,slow_draw
600298,2020-02-24,S,2.46,25.69,jump_gap
600498,2020-02-24,S,12.02,23.96,fade_high
603508,2020-02-24,S,0.64,21.5,slow_draw
002727,2020-02-25,S,3.46,20.79,slow_draw
600048,2020-02-25,S,-1.16,12.41,slow_draw
300142,2020-02-26,S,1.14,30.02,slow_draw
002462,2020-02-27,S,-1.8,13.98,slow_draw
300423,2020-02-27,S,-3.34,13.78,slow_draw
603332,2020-03-02,S,-1.34,12.27,slow_draw
002727,2020-03-03,S,3.46,20.79,slow_draw
000623,2020-03-04,S,-1.54,14.53,slow_draw
000777,2020-03-04,S,-0.46,10.89,slow_draw
603790,2020-03-04,S,-4.09,13.84,slow_draw
002727,2020-03-10,S,3.89,20.18,fade_high
300491,2020-03-10,S,2.11,12.12,slow_draw
002727,2020-03-17,S,3.89,20.18,fade_high
603858,2020-03-17,S,0.51,17.72,slow_draw
603856,2020-04-08,S,6.7,10.18,fade_high
603868,2020-04-30,S,7.34,32.13,fade_high
600835,2020-05-11,S,2.53,12.77,slow_draw
600835,2020-05-18,S,2.53,12.77,slow_draw
002025,2020-05-27,S,5.65,27.14,slow_draw
603515,2020-05-27,S,1.27,19.7,slow_draw
600535,2020-06-02,S,4.33,12.52,slow_draw
603351,2020-06-04,S,1.29,21.56,slow_draw
300531,2020-06-05,S,5.82,17.08,slow_draw
600535,2020-06-09,S,6.78,12.52,slow_draw
600482,2020-06-11,S,5.96,15.86,slow_draw
300531,2020-06-12,S,4.77,17.08,slow_draw
601088,2020-06-16,S,-0.51,10.38,fade_high
601601,2020-07-01,S,0.78,22.5,slow_draw
002032,2020-07-02,S,5.39,51.32,slow_draw
601336,2020-07-06,S,5.94,35.76,slow_draw
603351,2020-07-06,S,11.44,21.88,limit_down
601601,2020-07-08,S,1.49,22.5,slow_draw
600036,2020-07-09,S,1.57,25.69,slow_draw
600036,2020-07-30,S,1.36,26.9,slow_draw
002462,2020-07-31,S,1.45,13.22,limit_down
603657,2020-09-29,S,2.98,17.33,fade_high
300349,2020-10-19,S,-1.16,13.71,slow_draw
002422,2020-10-28,S,-2.13,20.64,slow_draw
300583,2020-10-28,S,-2.07,18.7,limit_down
600487,2020-10-29,S,-0.83,14.77,slow_draw
300422,2020-11-03,S,-0.86,12.11,slow_draw
300771,2020-11-05,S,-1.05,21.01,slow_draw
300166,2020-11-13,S,-1.18,12.83,slow_draw
300616,2020-11-27,S,5.28,52.73,slow_draw
