code,date,exit,exit_date,r,stopped,reason
000963,2017-09-11,23.743441027156713,2017-09-27,-0.0295777545669132,False,收线未确认平仓
300050,2017-09-11,10.5,2017-09-26,-1.0143803571428578,True,止损(确认期)
000869,2017-09-12,33.49,2017-11-07,1.2599952702702706,True,止损触发(层面1)
002117,2017-09-13,10.948200810093386,2017-09-19,-0.6040758300124787,False,收线未确认平仓
600062,2017-09-15,14.72,2017-11-01,-0.019976785714285714,True,止损触发(层面1)
002311,2017-09-18,19.69,2018-02-01,2.4401216867469917,True,止损触发(层面1)
300347,2017-09-18,18.67,2017-12-05,1.512625287356324,True,止损触发(层面1)
300335,2017-09-22,16.85,2017-11-22,0.36695555555555837,True,止损触发(层面1)
000988,2017-09-26,16.92,2017-11-24,-0.00348536585365663,True,止损触发(层面1)
000938,2017-09-29,21.01,2017-10-20,-0.016633333333333333,True,止损触发(层面1)
600486,2017-09-29,33.44,2018-03-23,5.072957264957263,True,止损触发(层面1)
002179,2017-10-11,13.85,2017-12-05,-0.0007835820895525563,True,止损触发(层面1)
600161,2017-10-11,12.223489863639463,2017-10-16,0.41524234007307903,False,收线未确认平仓
000988,2017-10-17,17.36741429526583,2017-11-03,-0.34436229486044473,False,收线未确认平仓
300207,2017-10-17,11.33,2017-11-08,-1.0166884615384606,True,止损(确认期)
600754,2017-10-20,27.01,2017-11-30,-1.0153355555555539,True,止损触发(层面1)
601877,2017-10-20,20.13,2018-06-04,3.738512790697675,True,止损触发(层面1)
600132,2017-10-23,16.25,2017-11-06,-1.0141636363636353,True,止损(确认期)
002589,2017-10-25,14.723800732553752,2017-10-30,0.604096511621156,False,收线未确认平仓
600699,2017-10-26,25.88,2017-11-20,-0.01586209677419355,True,止损触发(层面1)
000988,2017-10-31,17.05,2017-11-24,-0.014725,True,止损触发(层面1)
000988,2017-11-07,18.1,2017-11-17,-0.014791397849462366,True,止损触发(层面1)
002035,2017-11-07,15.352180497873062,2017-11-15,-0.5193820028359172,False,收线未确认平仓
300146,2017-11-07,10.62,2017-11-29,-0.014674545454545454,True,止损触发(层面1)
002597,2017-11-09,21.03,2018-02-09,2.4936788888888906,True,止损触发(层面1)
002626,2017-11-10,15.38,2018-01-02,4.751949180327869,True,止损触发(层面1)
300463,2017-11-10,24.077942533390928,2017-11-15,-0.17772860210409122,False,收线未确认平仓
600585,2017-11-10,20.66,2018-02-09,3.8194500000000007,True,止损触发(层面1)
600597,2017-11-10,13.08,2017-11-20,-0.016568333333333334,True,止损触发(层面1)
600754,2017-11-10,26.62,2017-11-30,-0.016056349206349206,True,止损触发(层面1)
603313,2017-11-16,15.98,2017-12-06,-1.0142523255813947,True,止损触发(层面1)
002311,2017-11-20,17.96,2017-11-27,-0.015,True,止损触发(层面1)
002321,2017-11-20,13.18,2017-12-22,-0.014950746268656716,True,止损触发(层面1)
300183,2017-11-21,17.77,2017-11-24,-1.0170112500000008,True,止损(确认期)
600323,2017-11-24,13.156944461332202,2017-12-25,-0.3275476430125769,False,收线未确认平仓
603900,2017-11-30,22.45,2018-02-06,-0.006035042735044436,True,止损触发(层面1)
603883,2017-12-06,20.57,2017-12-12,-1.0147401869158879,True,止损(确认期)
300270,2017-12-08,12.902445651912334,2017-12-13,1.2419265286649728,False,收线未确认平仓
300024,2017-12-11,18.31,2018-01-15,-1.0154219780219782,True,止损触发(层面1)
300055,2017-12-11,20.13,2018-01-10,-0.01758505747126437,True,止损触发(层面1)
600435,2017-12-11,11.93,2017-12-25,-1.018264,True,止损触发(层面1)
600521,2017-12-14,19.55,2018-01-15,2.781791250000002,True,止损触发(层面1)
600062,2017-12-15,16.42,2018-01-15,-0.003933333333330851,True,止损触发(层面1)
002311,2017-12-18,19.87,2018-01-08,-0.019869736842105263,True,止损触发(层面1)
002410,2017-12-22,13.167159333554304,2017-12-27,-0.3420812203460512,False,收线未确认平仓
300463,2017-12-22,21.768723632349268,2017-12-28,-0.5411775735334047,False,收线未确认平仓
300349,2017-12-26,15.16,2018-02-06,-0.023044,True,止损触发(层面1)
600875,2017-12-27,9.01,2018-02-09,-1.013826,True,止损触发(层面1)
002614,2017-12-28,15.39,2018-01-30,-0.015389473684210526,True,止损触发(层面1)
600436,2017-12-29,94.06,2018-08-06,11.5759031358885,True,止损触发(层面1)
002617,2018-01-02,11.03528707456102,2018-01-29,0.05275504815886423,False,收线未确认平仓
002508,2018-01-03,38.43,2018-02-06,-0.015291623036649216,True,止损触发(层面1)
002672,2018-01-03,15.678124747545452,2018-01-08,-0.2576111475356013,False,收线未确认平仓
300357,2018-01-04,13.97,2018-01-30,-1.0148763888888874,True,止损(确认期)
002262,2018-01-05,13.29,2018-01-29,-0.01711864406779661,True,止损触发(层面1)
600062,2018-01-08,17.10913631955215,2018-01-11,0.5502587771557642,False,收线未确认平仓
600436,2018-01-08,94.06,2018-08-06,11.5759031358885,True,止损触发(层面1)
000042,2018-01-09,16.05,2018-01-22,-0.015440506329113923,True,止损触发(层面1)
002617,2018-01-09,10.46,2018-02-01,-1.015130188679244,True,止损触发(层面1)
300357,2018-01-11,14.06,2018-01-30,-1.017092063492062,True,止损(确认期)
002262,2018-01-12,13.796192484097567,2018-01-19,-0.5338076609756014,False,收线未确认平仓
